Rank,App Name,Primary Function,can be provisioned as separate feature,ui update  scope,Brief Description, Installs ,Cost,URL
1,Quik ‑ Quick / Bulk Order Page,Cart customization,builtin,none,"Adds a fast, one-page bulk order form for B2B and wholesale buyers."," 890,579 ",Free / $9/mo,https://apps.shopify.com/quik-quick-order-page
2,Klaviyo Reviews,Product reviews,builtin,admin panel,A native review tool that syncs seamlessly with Klaviyo email flows.," 615,195 ",Free to Install,https://apps.shopify.com/klaviyo-reviews
3,Judge.me Product Reviews App,Product reviews,builtin,none,"Automates social proof with star ratings, photos, and video reviews."," 588,235 ",Free / $15/mo,https://apps.shopify.com/judgeme
4,Klaviyo: Email Marketing & SMS,Email marketing,builtin,admin panel,The industry standard for data-driven email and SMS automation.," 459,414 ",Free to Install,https://apps.shopify.com/klaviyo
5,Ample: Chat Button Menu,Badges and icons,builtin,theme,Creates sticky chat buttons and floating menus to guide shoppers.," 433,168 ",Free / $5/mo,https://apps.shopify.com/ample-chat-button-menu
6,ShopMate - AI Sales Assistant,AI Chat,builtin,none,AI-powered sales assistant for personalized customer guidance.," 424,447 ",Free / $29/mo,https://apps.shopify.com/shopmate
7,Shopify Inbox,Support,builtin,none,Shopify Inbox is a free messaging tool that lets you chat with customers as they shop. ," 423,139 ",Free,https://apps.shopify.com/inbox
8,Amai Bulk Discount Codes,Discounts,builtin,none,Automates tiered pricing and quantity breaks for cart orders.," 392,660 ",Free / $19/mo,https://apps.shopify.com/bulk-discount-code-generator
9,"
Madman ? Countdown Timer",Conversion,standalone,theme,High-visibility timers used to drive urgency during flash sales.," 332,713 ",Free / $9/mo,https://apps.shopify.com/countdown-timer
10,Wing ‑ Order Tracking,Support,builtin,store-backstage,"A lightweight, fast-loading order status and tracking page."," 312,208 ",Free / $14/mo,https://apps.shopify.com/wing-order-tracking
11,Geolocation,Store Design,builtin,none,Automatically detect customer country and suggest local currency/language.," 304,251 ",Free,https://apps.shopify.com/geolocation
12,Arty ‑ 3D model viewer,Visuals,standalone,theme,Allows customers to view products in 3D and Augmented Reality.," 274,210 ",Free / $29/mo,https://apps.shopify.com/arty-3d-model-viewer
13,Instafeed ‑ Instagram Feed,Social,standalone,?,Displays shoppable Instagram posts directly on your store.," 262,425 ",Free / $5.99/mo,https://apps.shopify.com/instafeed
14,GCP ‑ Gift Card Balance,Retention,standalone,?,Specialized tool for managing complex gift card balances.," 230,541 ",Free / $10/mo,https://apps.shopify.com/gift-card-balance
15,Judge.me Checkout Comments,Reviews,builtin,admin panel,Capture customer feedback directly on the thank you page.," 221,853 ",Free,https://apps.shopify.com/checkout-comments
16,Mailchimp Email SMS Marketing,Marketing,standalone,admin panel,Connects Shopify data to Mailchimp for campaigns.," 212,886 ",Free to Install,https://apps.shopify.com/mailchimp
17,SC (Sticky Cart),Conversion,builtin,theme,Keeps the 'Add to Cart' button visible as the user scrolls.," 203,115 ",Free / $9/mo,https://apps.shopify.com/sticky-cart
18,Printful: Print on Demand,Dropshipping,?,?,The leading POD service for custom apparel and merch.," 198,078 ",Free to Install,https://apps.shopify.com/printful
19,Printful Size Guide,Design,standalone,?,Displays size charts for Printful products automatically.," 197,169 ",Free,https://apps.shopify.com/size-guide
20,Shopify Forms,Marketing,standalone,"admin panel
theme",Shopify's own tool for capturing leads and pop-ups.," 191,319 ",Free,https://apps.shopify.com/shopify-forms
